kappa,B,N,omega_align,R_align,seed,final_nematic_order,final_polar_order,final_velocity_variance,final_angular_momentum,std_nematic_order
0.0,0.0,500,0.5,10.0,42,0.03545376209625005,0.06859033652128801,223.80411547872484,31.79300862443695,0.02074478369671246
0.7142857142857143,8.451542547285166,500,0.5,10.0,43,0.30953230722720954,0.703917322448147,113.472604148519,31.869335932211797,0.016530079129116436
1.4285714285714286,11.952286093343936,500,0.5,10.0,44,0.5279275857278161,0.8442408910525152,64.61189934775257,15.818969519105197,0.02038252469927069
2.142857142857143,14.638501094227998,500,0.5,10.0,45,0.6556414351431903,0.8989328114863149,43.17383024099519,8.335119017783931,0.01532349640694956
2.857142857142857,16.903085094570333,500,0.5,10.0,46,0.710592384472246,0.9180306051545398,35.37059072983364,21.515383599472905,0.01386499713010473
3.5714285714285716,18.89822365046136,500,0.5,10.0,47,0.7575396448319152,0.9324709250047957,29.359666095097428,12.999217246584656,0.010325756589910584
4.285714285714286,20.701966780270627,500,0.5,10.0,48,0.8004156422229893,0.9458267038744465,23.715939265034855,9.81245236259132,0.00970889874817952
5.0,22.360679774997898,500,0.5,10.0,49,0.8236918346722119,0.9523462819812636,20.931171686134956,6.535921881981345,0.010941269741268442
5.714285714285714,23.904572186687872,500,0.5,10.0,50,0.8469757322024384,0.9593360785159171,17.924909024194164,5.363297033653456,0.010103025787160798
6.428571428571429,25.354627641855497,500,0.5,10.0,51,0.8533095781281064,0.9610493776357797,17.184196671742026,8.622628357315108,0.011208406140184505
7.142857142857143,26.72612419124244,500,0.5,10.0,52,0.8682120976712444,0.9652022655897119,15.386423207797876,9.602988177038391,0.0028687594484694524
7.857142857142858,28.030595529069405,500,0.5,10.0,53,0.8849303515667298,0.9698705816114863,13.353693240025331,9.40729614070489,0.0041167421011952966
8.571428571428571,29.277002188455995,500,0.5,10.0,54,0.8882520122116997,0.9707907997344353,12.951888769569887,7.998285223083351,0.004015368706954646
9.285714285714286,30.472470011002205,500,0.5,10.0,55,0.8978469046660331,0.9733348900186576,11.83836874181578,6.8557758443621015,0.007413680585321387
10.0,31.622776601683793,500,0.5,10.0,56,0.8995149555129864,0.9738302407748103,11.620514451695248,8.337615768630764,0.010234768564969984
