N,phi,S_final,tau_align
10,0.0005026548245743669,0.07490609511385762,0.01
25,0.0012566370614359175,0.5009708028427226,0.01
50,0.002513274122871835,0.2882942684815366,0.01
100,0.00502654824574367,0.2402360955320075,0.01
150,0.007539822368615503,0.35019886110630066,0.01
200,0.01005309649148734,0.4364174220070328,0.01
300,0.015079644737231007,0.3843385918030878,0.01
500,0.025132741228718346,0.4376005998775861,0.01
750,0.03769911184307752,0.3946095417673605,0.01
1000,0.05026548245743669,0.4117784516923792,0.01
1500,0.07539822368615504,0.42156999906871656,0.01
2000,0.10053096491487339,0.44168687453863903,0.01
